code Agence;region;nbr guishet;nbr de client
150;Tunis;3;200
140;Ariana;3;200
135;Ben Arous;3;200
139;Manouba;3;200
137;Nabeul;3;200
136;Zaghouan;3;200
132;Bizerte;3;200
141;Béja;3;200
142;Jendouba;3;200
145;Kef;3;200
143;Siliana;3;200
144;Sousse;3;200
146;Monastir;3;200
147;Mahdia;3;200
148;Kairouan;3;200
149;Kasserine;3;200
019;Sidi Bouzid;3;200
902;Gabès;3;200
150;Médenine;3;200
096;Tataouine;3;200
011;Gafsa;3;200
007;Tozeur;3;350
058;Kebili;3;350
015;La Manouba;3;350
051;La Marsa;3;350
120;Grombalia;3;350
901;Hammam-Lif;3;350
801;Djedeida;3;350
151;Megrine;3;350
127;Mourouj;3;350
152;Gammart;3;350
153;Borj Cedria;3;350
014;Boumhel;3;350
043;Hammamet;3;350
091;Nabeul;3;350
094;Soliman;3;350
133;Korba;3;350
090;Korba;3;350
159;Korba;3;350
157;Korba;3;350
154;Korba;3;350
155;Korba;3;350
156;Korba;3;350
871;Korba;3;350
134;Korba;3;350
078;Korba;3;350
158;Korba;3;350
160;Korba;3;350
802;Korba;3;350
161;Korba;3;350
162;Korba;3;350
168;Ariana;3;350
169;Ariana;3;350
196;Ariana;3;350
201;Ariana;3;350
171;Ariana;3;350
174;Ariana;3;350
172;Ariana;3;350
175;Ariana;3;350
173;Ariana;3;350
178;Ariana;3;350
181;Ariana;3;350
177;Ariana;3;350
180;Ariana;3;350
179;Ariana;3;350
176;Ariana;3;350
182;Ariana;3;350
183;Ariana;3;350
184;Ariana;3;350
188;Ariana;3;350
189;Ariana;3;350
190;Ariana;3;350
191;Ariana;3;350
194;Ariana;3;350
165;Ariana;3;350
166;Ariana;3;350
163;Ariana;3;350
164;Ariana;3;350
167;Ariana;3;350
170;Ariana;3;350
186;Ariana;3;350
187;Ariana;3;350
185;Ariana;3;350
193;Ariana;3;350
192;Ariana;3;350
195;Ariana;3;350
197;Ariana;3;600
198;Ariana;3;600
219;Ariana;3;600
218;Ariana;3;600
200;Ariana;3;600
217;Ariana;3;600
222;Ariana;3;600
221;Ariana;3;600
226;Ariana;3;600
225;Ariana;3;600
228;Ariana;3;600
227;Ariana;3;600
223;Ariana;3;600
205;Ariana;3;600
220;Ariana;3;600
030;Ariana;3;600
077;Ariana;3;600
079;Ariana;3;600
082;Ariana;3;600
086;Ariana;3;600
087;Ariana;3;600
101;Ariana;3;600
099;Ariana;3;600
102;Ariana;3;600
098;Ariana;3;600
084;Ariana;3;600
092;Ariana;3;600
002;Ariana;3;600
000;Ariana;3;600
073;Ariana;3;600
075;Ariana;3;600
062;Ariana;3;600
028;Ariana;3;600
040;Ariana;3;600
021;Ariana;3;600
037;Ariana;3;600
029;Ariana;3;600
052;Ariana;3;600
053;Ariana;3;600
055;Ariana;3;600
042;Ariana;3;1000
049;Ariana;3;1000
033;Ariana;3;1000
046;Ariana;3;1000
103;Ariana;3;1000
104;Ariana;3;1000
003;Ariana;3;1000
044;Ariana;3;1000
230;tunisie;3;1000
010;tunisie;3;1000
095;tunisie;3;1000
005;tunisie;3;1000
006;tunisie;3;1000
004;tunisie;3;1000
008;tunisie;3;1000
034;tunisie;3;1000
035;tunisie;3;1000
009;tunisie;3;1000
026;tunisie;3;1000
018;tunisie;3;1000
027;tunisie;3;1000
031;tunisie;3;1000
036;tunisie;3;1000
038;tunisie;3;1000
001;tunisie;3;1000
048;tunisie;3;1000
012;tunisie;3;1000
041;tunisie;3;1000
050;tunisie;3;1000
013;tunisie;3;1000
020;tunisie;3;1000
024;tunisie;3;1000
025;tunisie;3;1000
022;tunisie;3;1000
057;tunisie;3;1000
060;tunisie;3;1000
016;tunisie;3;1000
063;tunisie;3;1000
065;tunisie;3;1000
064;tunisie;3;1000
097;tunisie;3;1000
224;tunisie;3;1000
229;tunisie;3;1000
231;tunisie;3;1000
232;tunisie;3;1000
233;tunisie;3;1000
100;tunisie;3;1000
234;tunisie;4;1000
900;tunisie;4;1000
235;tunisie;4;1000
105;tunisie;4;1000
841;tunisie;4;1000
106;tunisie;4;1000
085;tunisie;4;1000
081;tunisie;4;1000
199;tunisie;4;1000
903;tunisie;4;1000
904;tunisie;4;1000
107;tunisie;4;1000
108;tunisie;4;200
093;tunisie;4;200
089;tunisie;4;200
080;tunisie;4;200
047;tunisie;4;200
061;tunisie;4;200
066;tunisie;4;200
067;tunisie;4;200
059;tunisie;4;200
071;tunisie;2;200
072;tunisie;2;200
074;tunisie;2;200
032;tunisie;2;200
076;tunisie;2;200
068;tunisie;2;200
045;tunisie;2;200
039;tunisie;2;200
023;tunisie;2;200
017;tunisie;2;200
083;tunisie;2;200
054;tunisie;2;200
056;tunisie;2;200
070;tunisie;2;200
069;tunisie;2;200
109;tunisie;2;200
110;tunisie;2;200
088;kef;2;200
111;kef;2;200
112;kef;2;200
113;kef;2;200
114;kef;2;200
115;kef;2;200
116;kef;2;200
118;kef;2;150
117;kef;2;150
121;kef;2;150
119;kef;2;150
122;kef;2;150
123;kef;2;150
124;kef;2;150
125;kef;2;150
126;Sousse;2;150
130;Sousse;2;150
131;Sousse;2;150
129;Sousse;2;150
128;Sousse;2;150
138;Sousse;;150
